Day-ahead demand forecast for Seattle City Light (SCL) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3389916&sdid=EBA.SCL-ALL.DF.H
22:07:08 GMT-0500 (CDT)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SCL-ALL.DF.H megawatthours
03/21/2021 07H,962
03/21/2021 06H,1022
03/21/2021 05H,1075
03/21/2021 04H,1111
03/21/2021 03H,1106
03/21/2021 02H,1075
03/21/2021 01H,1062
03/21/2021 00H,1041
03/20/2021 23H,1059
03/20/2021 22H,1082
03/20/2021 21H,1121
03/20/2021 20H,1164
03/20/2021 19H,1165
03/20/2021 18H,1156
03/20/2021 17H,1136
03/20/2021 16H,1076
03/20/2021 15H,983
03/20/2021 14H,920
03/20/2021 13H,892
03/20/2021 12H,871
03/20/2021 11H,867
03/20/2021 10H,874
03/20/2021 09H,882
03/20/2021 08H,911
03/20/2021 07H,958
03/20/2021 06H,1021
03/20/2021 05H,1085
03/20/2021 04H,1133
03/20/2021 03H,1143
03/20/2021 02H,1133
03/20/2021 01H,1142
03/20/2021 00H,1128
03/19/2021 23H,1131
03/19/2021 22H,1119
03/19/2021 21H,1163
03/19/2021 20H,1196
03/19/2021 19H,1216
03/19/2021 18H,1232
03/19/2021 17H,1247
03/19/2021 16H,1247
03/19/2021 15H,1207
03/19/2021 14H,1107
03/19/2021 13H,984
03/19/2021 12H,904
03/19/2021 11H,875
03/19/2021 10H,874
03/19/2021 09H,880
03/19/2021 08H,914
03/19/2021 07H,973
03/19/2021 06H,1055
03/19/2021 05H,1140
03/19/2021 04H,1198
03/19/2021 03H,1204
03/19/2021 02H,1177
03/19/2021 01H,1168
03/19/2021 00H,1144
03/18/2021 23H,1169
03/18/2021 22H,1185
03/18/2021 21H,1229
03/18/2021 20H,1256
03/18/2021 19H,1264
03/18/2021 18H,1263
03/18/2021 17H,1266
03/18/2021 16H,1271
03/18/2021 15H,1238
03/18/2021 14H,1137
03/18/2021 13H,986
03/18/2021 12H,890
03/18/2021 11H,851
03/18/2021 10H,845
03/18/2021 09H,849
03/18/2021 08H,880
03/18/2021 07H,980
03/18/2021 06H,1055
03/18/2021 05H,1134
03/18/2021 04H,1194
03/18/2021 03H,1203
03/18/2021 02H,1175
03/18/2021 01H,1160
03/18/2021 00H,1144
03/17/2021 23H,1156
03/17/2021 22H,1185
03/17/2021 21H,1226
03/17/2021 20H,1270
03/17/2021 19H,1290
03/17/2021 18H,1307
03/17/2021 17H,1325
03/17/2021 16H,1341
03/17/2021 15H,1327
03/17/2021 14H,1210
03/17/2021 13H,1068
03/17/2021 12H,968
03/17/2021 11H,927
03/17/2021 10H,916
03/17/2021 09H,918
03/17/2021 08H,950
03/17/2021 07H,1014
03/17/2021 06H,1089
03/17/2021 05H,1174
03/17/2021 04H,1231
03/17/2021 03H,1236
03/17/2021 02H,1206
03/17/2021 01H,1181
03/17/2021 00H,1164
03/16/2021 23H,1174
03/16/2021 22H,1195
03/16/2021 21H,1240
03/16/2021 20H,1282
03/16/2021 19H,1302
03/16/2021 18H,1326
03/16/2021 17H,1353
03/16/2021 16H,1371
03/16/2021 15H,1361
03/16/2021 14H,1247
03/16/2021 13H,1106
03/16/2021 12H,1007
03/16/2021 11H,965
03/16/2021 10H,955
03/16/2021 09H,957
03/16/2021 08H,980
03/16/2021 07H,1002
03/16/2021 06H,1063
03/16/2021 05H,1165
03/16/2021 04H,1226
03/16/2021 03H,1225
03/16/2021 02H,1193
03/16/2021 01H,1166
03/16/2021 00H,1151
03/15/2021 23H,1161
03/15/2021 22H,1183
03/15/2021 21H,1227
03/15/2021 20H,1268
03/15/2021 19H,1282
03/15/2021 18H,1304
03/15/2021 17H,1333
03/15/2021 16H,1346
03/15/2021 15H,1326
03/15/2021 14H,1223
03/15/2021 13H,1098
03/15/2021 12H,1011
03/15/2021 11H,970
03/15/2021 10H,956
03/15/2021 09H,955
03/15/2021 08H,983
03/14/2021 08H,930
03/14/2021 07H,980
03/14/2021 06H,1038
03/14/2021 05H,1080
03/14/2021 04H,1115
03/14/2021 03H,1106
03/14/2021 02H,1045
03/14/2021 01H,992
03/14/2021 00H,981
03/13/2021 23H,984
03/13/2021 22H,1003
03/13/2021 21H,1046
03/13/2021 20H,1073
03/13/2021 19H,1094
03/13/2021 18H,1101
03/13/2021 17H,1087
03/13/2021 16H,1048
03/13/2021 15H,988
03/13/2021 14H,939
03/13/2021 13H,904
03/13/2021 12H,890
03/13/2021 11H,890
03/13/2021 10H,894
03/13/2021 09H,922
03/13/2021 08H,977
03/13/2021 07H,1036
03/13/2021 06H,1094
03/13/2021 05H,1141
03/13/2021 04H,1190
03/13/2021 03H,1206
03/13/2021 02H,1163
03/13/2021 01H,1109
03/13/2021 00H,1092
03/12/2021 23H,1106
03/12/2021 22H,1141
03/12/2021 21H,1184
03/12/2021 20H,1205
03/12/2021 19H,1234
03/12/2021 18H,1263
03/12/2021 17H,1281
03/12/2021 16H,1276
03/12/2021 15H,1189
03/12/2021 14H,1064
03/12/2021 13H,963
03/12/2021 12H,917
03/12/2021 11H,905
03/12/2021 10H,906
03/12/2021 09H,935
03/12/2021 08H,994
03/12/2021 07H,1072
03/12/2021 06H,1153
03/12/2021 05H,1214
03/12/2021 04H,1250
03/12/2021 03H,1258
03/12/2021 02H,1193
03/12/2021 01H,1139
03/12/2021 00H,1112
03/11/2021 23H,1131
03/11/2021 22H,1168
03/11/2021 21H,1206
03/11/2021 20H,1225
03/11/2021 19H,1248
03/11/2021 18H,1281
03/11/2021 17H,1311
03/11/2021 16H,1310
03/11/2021 15H,1218
03/11/2021 14H,1084
03/11/2021 13H,976
03/11/2021 12H,931
03/11/2021 11H,918
03/11/2021 10H,919
03/11/2021 09H,954
03/11/2021 08H,1002
03/11/2021 07H,1081
03/11/2021 06H,1166
03/11/2021 05H,1230
03/11/2021 04H,1265
03/11/2021 03H,1275
03/11/2021 02H,1214
03/11/2021 01H,1150
03/11/2021 00H,1122
03/10/2021 23H,1141
03/10/2021 22H,1178
03/10/2021 21H,1215
03/10/2021 20H,1229
03/10/2021 19H,1254
03/10/2021 18H,1285
03/10/2021 17H,1319
03/10/2021 16H,1319
03/10/2021 15H,1227
03/10/2021 14H,1094
03/10/2021 13H,990
03/10/2021 12H,945
03/10/2021 11H,933
03/10/2021 10H,934
03/10/2021 09H,960
03/10/2021 08H,1006
03/10/2021 07H,1086
03/10/2021 06H,1174
03/10/2021 05H,1242
03/10/2021 04H,1287
03/10/2021 03H,1294
03/10/2021 02H,1230
03/10/2021 01H,1172
03/10/2021 00H,1144
03/9/2021 23H,1162
03/9/2021 22H,1200
03/9/2021 21H,1228
03/9/2021 20H,1244
03/9/2021 19H,1263
03/9/2021 18H,1291
03/9/2021 17H,1320
03/9/2021 16H,1323
03/9/2021 15H,1234
03/9/2021 14H,1088
03/9/2021 13H,978
03/9/2021 12H,927
03/9/2021 11H,912
03/9/2021 10H,913
03/9/2021 09H,934
03/9/2021 08H,983
03/9/2021 07H,1066
03/9/2021 06H,1152
03/9/2021 05H,1218
03/9/2021 04H,1260
03/9/2021 03H,1270
03/9/2021 02H,1201
03/9/2021 01H,1136
03/9/2021 00H,1096
03/8/2021 23H,1115
03/8/2021 22H,1153
03/8/2021 21H,1194
03/8/2021 20H,1222
03/8/2021 19H,1262
03/8/2021 18H,1312
03/8/2021 17H,1350
03/8/2021 16H,1353
03/8/2021 15H,1273
03/8/2021 14H,1133
03/8/2021 13H,1031
03/8/2021 12H,981
03/8/2021 11H,961
03/8/2021 10H,958
03/8/2021 09H,984
03/8/2021 08H,1003
03/8/2021 07H,1077
03/8/2021 06H,1157
03/8/2021 05H,1216
03/8/2021 04H,1253
03/8/2021 03H,1263
03/8/2021 02H,1193
03/8/2021 01H,1132
03/8/2021 00H,1088
03/7/2021 23H,1097
03/7/2021 22H,1119
03/7/2021 21H,1139
03/7/2021 20H,1143
03/7/2021 19H,1143
03/7/2021 18H,1124
03/7/2021 17H,1075
03/7/2021 16H,1006
03/7/2021 15H,964
03/7/2021 14H,933
03/7/2021 13H,910
03/7/2021 12H,901
03/7/2021 11H,904
03/7/2021 10H,910
03/7/2021 09H,950
03/7/2021 08H,976
03/7/2021 07H,1037
03/7/2021 06H,1093
03/7/2021 05H,1144
03/7/2021 04H,1186
03/7/2021 03H,1206
03/7/2021 02H,1134
03/7/2021 01H,1083
03/7/2021 00H,1070
03/6/2021 23H,1056
03/6/2021 22H,1098
03/6/2021 21H,1145
03/6/2021 20H,1161
03/6/2021 19H,1165
03/6/2021 18H,1160
03/6/2021 17H,1118
03/6/2021 16H,1036
03/6/2021 15H,978
03/6/2021 14H,939
03/6/2021 13H,908
03/6/2021 12H,896
03/6/2021 11H,897
03/6/2021 10H,904
03/6/2021 09H,939
03/6/2021 08H,994
03/6/2021 07H,1060
03/6/2021 06H,1127
03/6/2021 05H,1190
03/6/2021 04H,1251
03/6/2021 03H,1292
03/6/2021 02H,1256
03/6/2021 01H,1217
03/6/2021 00H,1210
03/5/2021 23H,1215
03/5/2021 22H,1239
03/5/2021 21H,1254
03/5/2021 20H,1261
03/5/2021 19H,1267
03/5/2021 18H,1283
03/5/2021 17H,1290
03/5/2021 16H,1258
03/5/2021 15H,1159
03/5/2021 14H,1019
03/5/2021 13H,921
03/5/2021 12H,877
03/5/2021 11H,869
03/5/2021 10H,874
03/5/2021 09H,907
03/5/2021 08H,950
03/5/2021 07H,1020
03/5/2021 06H,1103
03/5/2021 05H,1172
03/5/2021 04H,1219
03/5/2021 03H,1236
03/5/2021 02H,1173
03/5/2021 01H,1110
03/5/2021 00H,1090
03/4/2021 23H,1096
03/4/2021 22H,1125
03/4/2021 21H,1167
03/4/2021 20H,1196
03/4/2021 19H,1223
03/4/2021 18H,1258
03/4/2021 17H,1288
03/4/2021 16H,1293
03/4/2021 15H,1204
03/4/2021 14H,1063
03/4/2021 13H,955
03/4/2021 12H,909
03/4/2021 11H,894
03/4/2021 10H,894
03/4/2021 09H,922
03/4/2021 08H,959
03/4/2021 07H,1031
03/4/2021 06H,1112
03/4/2021 05H,1177
03/4/2021 04H,1215
03/4/2021 03H,1224
03/4/2021 02H,1158
03/4/2021 01H,1087
03/4/2021 00H,1063
03/3/2021 23H,1075
03/3/2021 22H,1114
03/3/2021 21H,1151
03/3/2021 20H,1181
03/3/2021 19H,1212
03/3/2021 18H,1256
03/3/2021 17H,1295
03/3/2021 16H,1299
03/3/2021 15H,1215
03/3/2021 14H,1069
03/3/2021 13H,966
03/3/2021 12H,924
03/3/2021 11H,913
03/3/2021 10H,915
03/3/2021 09H,942
03/3/2021 08H,999
03/3/2021 07H,1077
03/3/2021 06H,1171
03/3/2021 05H,1241
03/3/2021 04H,1287
03/3/2021 03H,1308
03/3/2021 02H,1249
03/3/2021 01H,1196
03/3/2021 00H,1188
03/2/2021 23H,1171
03/2/2021 22H,1213
03/2/2021 21H,1240
03/2/2021 20H,1252
03/2/2021 19H,1255
03/2/2021 18H,1270
03/2/2021 17H,1294
03/2/2021 16H,1296
03/2/2021 15H,1191
03/2/2021 14H,1031
03/2/2021 13H,924
03/2/2021 12H,878
03/2/2021 11H,867
03/2/2021 10H,870
03/2/2021 09H,889
03/2/2021 08H,998
03/2/2021 07H,1077
03/2/2021 06H,1173
03/2/2021 05H,1248
03/2/2021 04H,1289
03/2/2021 03H,1311
03/2/2021 02H,1242
03/2/2021 01H,1175
03/2/2021 00H,1152
03/1/2021 23H,1150
03/1/2021 22H,1202
03/1/2021 21H,1235
03/1/2021 20H,1257
03/1/2021 19H,1281
03/1/2021 18H,1310
03/1/2021 17H,1340
03/1/2021 16H,1331
03/1/2021 15H,1235
03/1/2021 14H,1080
03/1/2021 13H,970
03/1/2021 12H,916
03/1/2021 11H,899
03/1/2021 10H,897
03/1/2021 09H,922
03/1/2021 08H,1010
03/1/2021 07H,1082
03/1/2021 06H,1159
03/1/2021 05H,1219
03/1/2021 04H,1263
03/1/2021 03H,1281
03/1/2021 02H,1205
03/1/2021 01H,1149
03/1/2021 00H,1127
02/28/2021 23H,1121
02/28/2021 22H,1151
02/28/2021 21H,1180
02/28/2021 20H,1180
02/28/2021 19H,1175
02/28/2021 18H,1155
02/28/2021 17H,1106
02/28/2021 16H,1036
02/28/2021 15H,995
02/28/2021 14H,967
02/28/2021 13H,947
02/28/2021 12H,938
02/28/2021 11H,943
02/28/2021 10H,951
02/28/2021 09H,990
02/28/2021 08H,1026
02/28/2021 07H,1086
02/28/2021 06H,1150
02/28/2021 05H,1206
02/28/2021 04H,1246
02/28/2021 03H,1259
02/28/2021 02H,1184
02/28/2021 01H,1118
02/28/2021 00H,1086
02/27/2021 23H,1107
02/27/2021 22H,1135
02/27/2021 21H,1170
02/27/2021 20H,1194
02/27/2021 19H,1207
02/27/2021 18H,1207
02/27/2021 17H,1184
02/27/2021 16H,1130
02/27/2021 15H,1066
02/27/2021 14H,1008
02/27/2021 13H,974
02/27/2021 12H,960
02/27/2021 11H,960
02/27/2021 10H,965
02/27/2021 09H,998
02/27/2021 08H,1069
02/27/2021 07H,1130
02/27/2021 06H,1195
02/27/2021 05H,1260
02/27/2021 04H,1313
02/27/2021 03H,1352
02/27/2021 02H,1321
02/27/2021 01H,1259
02/27/2021 00H,1246
02/26/2021 23H,1235
02/26/2021 22H,1262
02/26/2021 21H,1295
02/26/2021 20H,1315
02/26/2021 19H,1337
02/26/2021 18H,1356
02/26/2021 17H,1368
02/26/2021 16H,1340
02/26/2021 15H,1246
02/26/2021 14H,1105
02/26/2021 13H,1002
02/26/2021 12H,956
02/26/2021 11H,947
02/26/2021 10H,951
02/26/2021 09H,988
02/26/2021 08H,1069
02/26/2021 07H,1153
02/26/2021 06H,1247
02/26/2021 05H,1322
